author_id,created_at,lang,id,public_metrics_like_count,public_metrics_retweet_count,public_metrics_reply_count,referenced_tweets_type,referenced_tweets_id,text
285463237,2021-03-23T04:31:27.000Z,en,1.37422E+18,1,0,1,replied_to,1.37419E+18,"@lordjackass4u @descripticon @ziruchang Possibly America's Suez Canal moment:
https://t.co/U7GGYdE9Zi"
1.3662E+18,2021-03-23T04:36:46.000Z,en,1.37422E+18,0,5,0,retweeted,1.37403E+18,"When EU talks about Ethiopia &amp; Eritrea, read Egypt/Suez Canal &amp; Refugees. EU’s main interest in Ethiopia is neither human rights nor democracy.

EU:

1. Wants to stop Ethiopia’s construction of Abay (“Nile”) dam &amp; help Egypt

2. Fears floods of black refugees turning Europe black https://t.co/UIfF4WmkiF"
3376193123,2021-03-23T04:40:21.000Z,es,1.37422E+18,0,0,0,,,📺 La intrincada historia del Canal de Suez: desde los faraones hasta nuestros días... https://t.co/4bJxo9v5f9
2874191037,2021-03-23T05:24:47.000Z,es,1.37423E+18,0,0,0,,,📺 La intrincada historia del Canal de Suez: desde los faraones hasta nuestros días... https://t.co/QOmvUuZRxk
465671507,2021-03-23T05:40:34.000Z,en,1.37423E+18,0,0,0,,,"Re: The Alaska talks between China and the US have repercussions for the Gulf and the Suez Canal: US Secretary of State Antony Blinken and National Security Adviser Jake Sullivan have met with Yang Jiechi, the most senior ranking official in the Chinese… https://t.co/FxeHapq9MH"
81582883,2021-03-23T05:55:00.000Z,en,1.37424E+18,106,20,0,,,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
1.22345E+18,2021-03-23T05:55:08.000Z,en,1.37424E+18,0,20,0,retweeted,1.37424E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
1.23437E+18,2021-03-23T05:55:19.000Z,en,1.37424E+18,0,20,0,retweeted,1.37424E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
1.12908E+18,2021-03-23T05:56:07.000Z,en,1.37424E+18,0,20,0,retweeted,1.37424E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
1.2525E+18,2021-03-23T05:56:30.000Z,en,1.37424E+18,0,20,0,retweeted,1.37424E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
