author_id,created_at,lang,id,public_metrics_like_count,public_metrics_retweet_count,public_metrics_reply_count,text,referenced_tweets_type,referenced_tweets_id
1084504032,2021-03-28T06:59:57.000Z,en,1376066513677950977,0,10591,0,ships will literally block the suez canal instead of going to therapy,retweeted,1375886124053274624
1093105336217550848,2021-03-28T06:59:56.000Z,en,1376066510561574915,0,574,0,I thought the whole Suez Canal thing was funny but I just learned it's costing the global elite 9.6B/day AND NOW IT'S HILARIOUS,retweeted,1375707938786926595
748209679495368704,2021-03-28T06:59:56.000Z,en,1376066510251155458,0,13284,0,You are NOT too much. You are ENTITLED to take up space. If the Suez Canal doesn't have room for you that is the Suez Canal's problem.,retweeted,1375474572611424262
1275851229869027328,2021-03-28T06:59:56.000Z,en,1376066509479481346,0,68,0,my dude stuck at the Suez canal https://t.co/UdnFC1WZpT,retweeted,1375938227731894272
754183303,2021-03-28T06:59:56.000Z,es,1376066509458530309,0,2,0,La solucion al problema del barco en el canal de Suez https://t.co/Gvu1Bx23dA,retweeted,1375510216641372160
75184094,2021-03-28T06:59:56.000Z,en,1376066507692646401,0,319,0,"I like the headline in the Dutch paper. 

""The Suez Canal crisis is now blocking a huge shipment of erotic toys from reaching the Netherlands"" https://t.co/XeYPVWy1hT https://t.co/ncYj5rVIOI",retweeted,1375922572227936260
3051167834,2021-03-28T06:59:55.000Z,en,1376066505079545856,0,14,0,The Dumb Puppy of QAnon is sure we're about to find a few thousand trafficked children on the boat stuck in the Suez Canal. When nothing happens after the boat is finally unstuck this whole thing will be forgotten about like the Mole Children and every other failed payoff. https://t.co/Neicj121xA,retweeted,1376055808975323136
1314250775816798209,2021-03-28T06:59:53.000Z,en,1376066495550267394,0,1931,0,"In the future, Suez Canal boats should be donut shaped so they can bounce off the walls like lazy river tubes I think we all agree",retweeted,1375797503484919810
902944966846144513,2021-03-28T06:59:53.000Z,es,1376066495466340353,0,26,0,"Fracasa de nuevo el intento de reflotar el Ever Given y debloquear el canal de Suez. 

https://t.co/2MHvRG1S3D https://t.co/zZs98bQWGU",retweeted,1376064092650225666
71572569,2021-03-28T06:59:52.000Z,es,1376066493578932227,2,0,0,Ariel ama essa moda de canal de suez @paulozasimowicz https://t.co/Rk3sbpPSYs,quoted,1375580208108044288
2704775186,2021-03-28T06:59:52.000Z,en,1376066493536944130,0,84,0,Fixed the Suez Canal problem https://t.co/4Ydad0GEtG,retweeted,1375925647667789825
75290094,2021-03-28T06:59:51.000Z,pt,1376066488625401856,8,0,3,A coisa parece ir de mal a pior... https://t.co/as8hYvI4kJ,replied_to,1375859799888367617
1308873714969096192,2021-03-28T06:59:51.000Z,hi,1376066487790669827,8,2,1,"""mitron, jab suez canal me evergreen fasi thi tab mene hi dhakka maar k seedhi ki thi""",,
1102730501163384832,2021-03-28T06:59:50.000Z,en,1376066485156683781,0,8196,0,"There’s definitely a guy at the Suez Canal who started pitching “blow up the boat” like an hour in, and he’s gotta be starting to win people over by now",retweeted,1375905429058940928
2351633956,2021-03-28T06:59:48.000Z,fr,1376066473765056512,0,299,0,Comment libérer le cargo bloqué dans le canal de Suez ? https://t.co/x4rfcj4K3F,retweeted,1375470598231576582
316007877,2021-03-28T06:59:47.000Z,en,1376066470208282624,0,19077,0,"Breaking News:

The cargo ship stuck in the Suez Canal is blocking so much important and useful stuff that they have decided to rename it 
""Mitch McConnell""",retweeted,1375928175453204482
109831982,2021-03-28T06:59:46.000Z,en,1376066466693320706,0,189,0,"Everyone should remember that according to the ancient Stoic masters, a boat stuck the Suez canal cannot causes us to suffer, only our reaction to a boat stuck in the Suez canal can, which is the thing we can control.",retweeted,1375874785553485830
14603479,2021-03-28T06:59:44.000Z,en,1376066458413719553,0,8196,0,"There’s definitely a guy at the Suez Canal who started pitching “blow up the boat” like an hour in, and he’s gotta be starting to win people over by now",retweeted,1375905429058940928
1289548982,2021-03-28T06:59:44.000Z,en,1376066458350936064,0,8196,0,"There’s definitely a guy at the Suez Canal who started pitching “blow up the boat” like an hour in, and he’s gotta be starting to win people over by now",retweeted,1375905429058940928
974514001630568448,2021-03-28T06:59:44.000Z,en,1376066457314856963,0,11,0,Why can't the Suez Canal problem be solved this way? https://t.co/MFnOeJtIUB,retweeted,1376060001727344645
1486362374,2021-03-28T06:59:43.000Z,en,1376066456295641092,0,17887,0,my solution for the Suez Canal problem https://t.co/pc1hCR4hsr,retweeted,1375537196275535875
556701450,2021-03-28T06:59:43.000Z,en,1376066455557468163,1,0,0,Here's the latest with the Suez canal crisis https://t.co/GZ1QqEZp9n via @business,,
408355504,2021-03-28T06:59:43.000Z,en,1376066455012315138,0,2296,0,"Everyone is talking about the big ship getting stuck in the #Suez Canal. Here's a critical logistics reading list on the politics of how we got here -why ships are so huge, why there is a manmade canal cutting through a continent, why global supply chains seem so brittle, &amp; more.",retweeted,1375868552129863681
